time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.595959977385,2.41755713568e-06,0.00775183681568,0.000384349749959,0.00123312224033,0.0,9.86569702332,0.000138957054402,0.258346531874,-0.00809644842423,-0.0134234779812,0.0,483.82955063028135,482.81811668841453,486.1025607782042,485.49562524432025
0.12000000000000001,1.18394767243,1.83120310768e-05,0.0311928463264,6.28309668393,0.000563173124584,0.0,9.73449981765,0.000330395227939,0.522950979956,-0.00757084954084,-0.0104169249918,0.0,486.20558671221926,486.4308838788174,486.59540392509876,486.634864351857
0.18,1.76418442018,4.16734931312e-05,0.0675237486544,0.000997432888608,0.000142919504827,0.0,9.60727321049,0.00058613827373,0.688000890517,-0.0224191926965,-0.00651677737175,0.0,457.46808303467617,457.77861045533734,457.7578488243075,456.575028149403
0.23999999999999996,2.33688916495,9.37989409833e-05,0.11366448706,6.2828307459,0.00109253102204,0.0,9.48323707868,0.00100319790453,0.849904724277,-0.0244061110819,-0.0204570401426,0.0,457.08257075014546,455.97053062366473,456.8308631203445,456.67239551265163
0.3,2.90223363194,0.000143789366146,0.170013686725,6.28252148668,0.000258521858242,0.0,9.3621426155,0.00061600167109,1.02826902668,-0.0137717822872,-0.0146821610112,0.0,462.22475092164785,462.67963940455394,460.84979484713796,461.6895033619059
0.36000000000000004,3.46041984294,0.000166690719306,0.232912587039,6.28196813924,0.000361910849814,0.0,9.24448348631,0.000102439355693,1.06832235555,-0.0208194965623,-0.0268164995186,0.0,419.3869252765564,418.3317822627924,418.52594013639947,417.9122266338453
0.4200000000000001,4.01163183206,0.000145037514784,0.298591843756,6.28075776251,0.00107169892322,0.0,9.12961936409,-0.000940307957031,1.12093145102,-0.0195506951214,-0.0112925411333,0.0,421.43410674410285,422.77358748790886,423.3842517997308,423.49338695360615
0.48000000000000015,4.55601396807,3.73334790863e-05,0.37077127242,6.28184791682,0.00239613552375,0.0,9.01669060902,-0.00254498753472,1.28487113164,-0.00422729699659,-0.0280386075687,0.0,458.6969508078111,457.3653737904616,457.3970945742475,458.6157729371417
0.5400000000000001,5.09368456885,-4.82652286993e-05,0.45246598946,0.0230230814126,0.00106793650612,0.0,8.9062048189,0.00230940118948,1.43809918705,0.048933815199,-0.035867056944,0.0,454.7189538769898,454.09116573101926,453.7443663656157,457.99192729444013
0.6000000000000002,5.62484021318,0.0006994847093,0.543554135544,0.0458987512567,6.28214884803,0.0,8.79961052268,0.0250936890103,1.59789679384,0.0966639651655,-0.0343922096228,0.0,457.22831544002975,457.3452816028363,456.02917650629206,459.8287395878541
0.6600000000000003,6.14970170615,0.00321302185314,0.643171594168,0.052067987325,0.0026036232103,0.0,8.69575870615,0.0593422994417,1.72246307022,0.0886980764381,-0.00940312346859,0.0,446.4117872371324,448.44589091803056,447.6426401310323,447.00143968542005
0.7200000000000003,6.66832548903,0.00774112475072,0.746953647674,0.0596688741536,0.00773574720554,0.0,8.59154594481,0.0922580302162,1.73686541728,0.10407823848,-0.0367756416583,0.0,413.4734536947996,411.0550051344362,411.4037470057057,412.7714294337354
0.7800000000000004,7.18067303314,0.0145685733638,0.854718253029,0.0660147581377,0.00617225112594,0.0,8.48724559627,0.135974622952,1.85507109403,0.106563263043,-0.0291098377561,0.0,445.64080178287827,446.2664346957439,446.0124452686886,446.2249056862088
0.8400000000000004,7.68688053913,0.0239318436771,0.966243715881,0.072746921419,0.00642422644965,0.0,8.38664016102,0.176734240967,1.86238753381,0.0988783266207,-0.0458428284131,0.0,410.9385638274922,409.452061352108,410.9992316660892,410.3280069171537
0.9000000000000005,8.18705364095,0.0364095925192,1.0851878067,0.0856984663373,0.0106807895654,0.0,8.28561576731,0.240785557322,2.10188252944,0.0686312153931,-0.0180206679882,0.0,481.2480206603501,483.3486480935901,485.052810894074,482.7820664389841
0.9600000000000005,8.68117409507,0.0527206393107,1.21514720819,0.089818550169,0.0106149725508,0.0,8.18539059883,0.303333888192,2.22981971006,0.0661245562878,-0.0303243975571,0.0,450.8887672459759,449.8936947240068,451.2752388796299,451.0762475996478
1.0200000000000005,9.16940201136,0.0724716987692,1.34836174152,0.0938286243086,0.00886377279499,0.0,8.08935229204,0.355376507655,2.21065917984,0.0623642731359,-0.0284209885704,0.0,402.1964171807439,402.3683920598536,404.39040942773994,404.05511686847353
1.0800000000000005,9.65192906499,0.0957860549213,1.48436170622,0.0975677050961,0.00721511786241,0.0,7.99537284563,0.4221340788,2.32240668729,0.0601113845343,-0.0267518233856,0.0,445.895577483314,446.0317134613504,446.8573898319523,446.6764103489602
1.1400000000000006,10.12889185,0.12316278229,1.62685191119,0.101224318101,0.0110156318085,0.0,7.90322887911,0.490772054652,2.42701514177,0.0616372788636,-0.05344935985,0.0,446.1381576723277,443.9524384315372,444.2691311957167,444.39683307060017
1.2000000000000006,10.600328692,0.154696336885,1.77515041613,0.107892401139,0.00918685522732,0.0,7.81180561651,0.56097194433,2.51599207897,0.0793530666918,-0.0675656990751,0.0,440.7882823639129,439.61778934520237,439.707930698851,441.1765663306946
1.2600000000000007,11.0663622307,0.190740384573,1.92996123571,0.122088255746,0.00903500616788,0.0,7.7229640134,0.642002357413,2.64388300388,0.0444836632601,-0.0470936796951,0.0,452.77325560151166,454.4146850942879,454.2206250568439,451.4190985608213
